YEAR,W_1,W_2,W_3,W_4,W_5,W_6,W_7,W_8,W_9,W_10,W_11,W_12,W_13,W_14,W_15,W_16,W_17,W_18,YIELD
0,21.38926642140332,26.985066251197576,23.81375605894251,26.852213602936605,25.096705185234637,26.85210878272618,25.730293191779445,23.416002020493607,21.038239536777382,5.7397109915207185,2.787364091245884,1.8431738683037715,1.5491547153739866,0.39448127387058507,2.8680486036662325,1.5877356740321513,3.0461007482037212,2.680205677200782,10.32
1,21.314073894814136,22.516441955929945,24.072041630472285,29.159849074951175,29.522391691134793,26.56703274436739,28.24985446069317,24.60616128850249,19.268684633104645,1.891105707442584,3.610893256612671,2.1483658627527413,2.317832287321661,0.8229357984792547,2.60693395060055,1.8831974881810793,1.2977949735806307,7.477725651957194,10.39
2,20.87508304528408,26.03884526677001,24.51670802199976,27.63377623333368,26.951666540915074,27.92649616537786,26.534606895739437,25.968637639136954,23.55462341018963,4.745317911455083,1.8725294120260223,4.237159759256402,0.08690939737305044,1.4606377444589875,2.1633135679592064,7.340031958683246,3.8630877486106208,2.659762800899324,8.49
3,20.553688211573643,20.99298579219435,22.85902707037897,28.654017702631716,26.705205646601666,24.458349700571354,25.146936277632495,21.531643799844655,22.961973891845346,8.479863141663872,5.067889546692769,3.836784579460725,0.23924279376995788,0.11306146468397038,3.5352623166360893,4.7480534816772195,0.9141969501730551,0.9264423133408811,7.28
4,21.523341729980828,21.54289953388266,23.034071812013305,26.32731490984409,30.36228946348849,27.503656812486412,27.839165424510202,29.764478761071917,18.29096315436586,3.405621191378664,0.3631189863495926,1.9418764192483238,0.25949066613485594,0.814973581345862,1.240040295526423,0.611056217643181,1.7467793995611465,1.7088293320075054,7.31
5,23.176501337931832,22.8979752927412,25.645544639677308,24.42870850439124,27.29003769425598,27.832589489852637,25.620254890613943,25.852238256041367,20.31864879844838,3.118457417198743,3.646369032107836,1.6669101957649848,4.547930714417004,0.7651623512701138,0.15330605997569255,2.582795077882189,5.194152247983791,2.767305788108883,11.57
6,19.729241183600973,23.59534318751447,24.72048454627263,27.67439362207954,26.2965097115434,25.789354246155813,29.507323355748422,25.349912094077887,21.031677301627884,3.00001826224134,1.7687474106192251,2.0214720161904784,0.8012064405630598,3.4578253523419518,2.6051556954091373,1.7377511540560868,9.78279088849919,4.616973725533609,10.47
7,20.161374917566842,22.690619952935453,21.539646473613402,24.519368640684736,24.261100942085292,24.64256355278899,28.400699125539745,24.2062687783325,19.773514773487605,1.3974380583568247,0.3764570801500117,3.6045555682323163,1.401027825105236,3.345779936772291,4.6623524980899544,3.0582068335523074,1.0784555939501648,0.267798507464831,15.22
8,20.738262828379554,23.656311195670845,25.814681457126976,26.29857963704752,25.83858557518851,25.02049371532775,25.932714221731494,25.727462297699827,17.424420501714398,4.733174011517574,0.7400815755583384,2.417541674833411,2.533100389811987,0.8306631578304291,3.5178335241932843,0.66735852523451,1.8294103643744992,5.842009140677354,11.28
9,18.294778024771336,22.575936691712283,25.320930706593593,26.65279812210112,25.760456047900156,26.899446944211604,24.128842218335258,22.822270643233914,20.932661010776904,6.042274992375674,1.3735915094202145,0.7405583771554155,1.8728452878458834,2.3708815974825788,2.255621144531088,2.4333926625779116,10.932152692578438,3.225698730200215,10.19
10,23.464658488872182,23.11205736651267,27.032349643294037,26.34837035961611,26.6356857267124,27.142811815450038,30.42123839314062,24.05192481071527,18.585785246172534,0.692691971038138,0.5012844121472741,3.4624846542036813,0.2428360558929719,0.9439093333369282,3.0412872375626705,2.1692739530147493,1.8231585796790815,6.5540152193465495,6.12
11,21.565173119981146,24.164693513917445,23.021349993714118,27.850137305338926,24.970444886872226,27.930318562168544,25.911352505840124,24.44592394395658,19.436166974459656,3.4254630623613638,0.5836224325486894,1.0088091356158713,0.5729179684238032,3.72156816249739,2.277725633980625,6.81614670509533,5.480899753275961,7.07947317457879,10.04
12,20.828575676555467,22.75506720354771,21.426514683269694,28.54691368782913,29.312358198272754,25.941003009058697,26.58907609959773,24.38050826137507,22.603485553190552,2.3381130753075103,6.126644639728032,3.641717796016284,1.975810469604267,2.8438305517485345,1.8405886468847226,1.650829019159795,2.1013294013509403,1.6649991405321212,10.88
