YEAR,W_1,W_2,W_3,W_4,W_5,W_6,W_7,W_8,W_9,W_10,W_11,W_12,W_13,W_14,W_15,W_16,W_17,W_18,YIELD
0,16.086969313742166,24.245857717131422,20.409279859945652,22.246864152012254,19.678141372539372,21.173443365474007,20.037943811653246,17.322987683836896,14.751113786351803,1.4622042877881207,3.951452601773653,2.1010911968666703,1.1414544253627752,2.1670330086219183,7.972667736938301,1.555215546099684,6.219460201563588,2.0817871218075408,5.97
1,14.343274550989051,18.206659591473127,20.576740628632525,25.947666479848998,25.648179189406676,22.14966768373816,23.985590950109238,18.9075304705727,10.577360409619427,1.0360850530382346,0.8796513593495583,5.583976531634195,0.3199736081338535,1.6127614992516928,3.3042086219113274,0.060818587021091976,1.5405830257798971,3.2149334914484773,5.77
2,14.787674447942265,21.58107506420263,18.33822715973651,24.803603766929857,24.632332390381112,23.195852823514606,21.91389751923574,19.301723819418974,15.64614927896185,3.295700141947587,2.556876147838994,2.1650087562483686,2.165767639832652,1.7910101458202696,3.0129678407912746,4.316012471115819,2.021235563281576,0.8144438051710264,8.65
3,15.705925059639728,15.706771638631674,17.619582541821973,26.452436998085176,22.241309909725885,18.030527791491977,21.2083769602061,12.584166964260097,15.719183701056936,2.8724242538148315,3.686681837801489,4.7165630828442655,2.8371294502872675,0.6384162151318759,2.1477406900336553,3.114912774430086,1.1060715148082492,0.8701183874199051,1.07
4,16.394038152515876,15.535681230890095,18.223575313592512,22.134249962484205,28.199316806022022,23.880179095496267,23.346451933730208,24.746668447383644,12.876404504018062,2.2407808060440533,2.920387315199851,1.472874162366932,1.2353405458554791,3.050564140572095,0.8996643322409066,1.561178755165611,0.9752999347216778,3.2422421653771116,7.4
5,16.52053597118019,18.25649051916458,21.174848397392033,20.004172522847927,24.17073975220096,22.602071254035927,20.778218695093877,19.03804655284911,13.801356073072919,1.3754931920272544,2.0569083950887994,2.5109929825647326,3.1459743110044047,0.8485595170359401,0.6915621100560132,8.258601850540938,0.9220715663837581,2.896563437639177,5.57
6,13.277694561757423,18.20796337191232,20.138454186556185,23.86821543829517,21.692691931704076,20.82571593579556,25.212277547502094,20.096419459226883,14.18144887812423,2.5303149046161875,0.48272111658643285,3.1182725171288377,2.5572932828930988,0.8193157896686415,1.8274457155599528,3.3786811389954168,4.181148418541417,3.0379503685022193,5.13
7,13.153622022157256,18.027698877430367,16.66215815424508,20.019280305277743,19.469958906247385,19.176957420200132,23.67830482910602,18.165728930912984,11.42790134601019,4.069617320251871,0.9122631586786578,4.258827193541969,7.04426326973096,4.516761199945959,1.8981576802015176,0.44554727332335364,0.5279774902408029,0.9552716061291219,0.66
8,14.830619598022372,18.130366595641952,22.67889213491027,22.55046876004206,21.035591349742674,20.698166884842713,18.552336541388566,19.088170550958132,10.23203476356166,2.5922354747065084,1.3764232450149612,1.7591590851492298,1.1847003703948062,1.6297956653277992,6.208115243171277,4.061413096305865,1.6132069625082657,2.71675881350961,2.74
9,13.5724347883056,18.352843714908875,22.124279063261916,23.642258212304935,22.297092088909505,22.846430975059924,17.368831725328867,14.603937575125267,12.707173471242973,2.918609759184062,0.31982846877842963,1.5156717402915487,1.640292285928761,4.2260685313116655,2.012449956339538,7.440658507567387,4.006726153280146,0.6442053673923024,2.97
10,18.890570875177684,17.60034025601093,22.508676464733675,21.831504277241688,23.049719091257714,21.132620966905428,27.00086045397589,18.4188169292509,12.169443337340304,2.0988502269059803,2.4683594402774798,0.9301590291559897,1.4022613995080093,2.402111147857181,2.140365686485112,1.8212726928426288,1.7637874331088859,4.69832468422165,6.34
